step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
227,0.14132,0.96875,,
228,0.12778,0.9661,,
229,0.12625,0.96923,,
230,0.18814,0.96429,,
231,0.04973,0.9863,,
232,0.12087,0.96774,,
233,0.06251,0.98148,,
234,0.09803,0.97368,,
235,0.01694,1.0,,
236,0.17782,0.94915,,
237,0.01781,1.0,,
238,0.04695,0.98333,,
239,0.03546,0.98276,,
240,0.09463,0.9726,,
241,0.04463,0.98507,,
242,0.07079,0.98413,,
243,0.17208,0.96667,,
244,0.1509,0.9726,,
245,0.03696,0.97959,,
246,0.02131,0.98333,,
247,0.2571,0.89655,,
248,0.01405,0.98305,,
249,0.21907,0.92188,,
250,0.03408,0.98438,,
251,0.15983,0.9375,,
252,0.00354,1.0,,
253,0.29989,0.94203,,
254,0.19492,0.96825,,
255,0.07735,0.96667,,
256,0.05822,0.98592,,
257,0.07442,0.96825,,
258,0.03519,0.98438,,
259,0.10146,0.96825,,
260,0.01464,1.0,,
261,0.17775,0.9375,,
262,0.15464,0.95082,,
263,0.09115,0.94828,,
264,0.21523,0.93939,,
265,0.16761,0.93846,,
266,0.03401,1.0,,
267,0.11972,0.98571,,
268,0.03461,0.98571,,
269,0.0218,1.0,,
270,0.11859,0.9661,,
271,0.10201,0.96667,,
272,0.20078,0.95,,
273,0.08844,0.98387,,
274,0.07242,0.96825,,
275,0.04326,0.98333,,
276,0.10219,0.95238,,
277,0.16376,0.98485,,
278,0.03967,0.98148,,
279,0.1316,0.95385,,
280,0.11076,0.98113,,
281,0.20247,0.95082,,
282,0.00968,1.0,,
283,0.1155,0.9697,,
284,0.06922,0.98276,,
285,0.22252,0.94915,,
286,0.03517,1.0,,
287,0.01826,1.0,,
288,0.11381,0.98413,,
289,0.07803,0.97059,,
290,0.08751,0.97015,,
291,0.12037,0.98462,,
292,0.0828,0.96491,,
293,0.01131,1.0,,
294,0.1278,0.94828,,
295,0.02399,1.0,,
296,0.22069,0.95588,,
297,0.20032,0.94828,,
298,0.06664,0.98276,,
299,0.05506,0.97143,,
300,0.04238,0.96552,0.01602,1.0
301,0.10519,0.9697,,
302,0.08403,0.98413,,
303,0.1498,0.96923,,
304,0.00416,1.0,,
305,0.03776,1.0,,
306,0.31427,0.95161,,
307,0.07316,0.96875,,
308,0.17432,0.92308,,
309,0.04874,0.98507,,
310,0.22817,0.91304,,
311,0.15803,0.95588,,
312,0.08222,0.98438,,
313,0.13806,0.98551,,
314,0.06118,0.98305,,
315,0.08365,0.97222,,
316,0.15888,0.95238,,
317,0.02581,1.0,,
318,0.06041,0.97015,,
319,0.04063,0.98438,,
320,0.00459,1.0,,
321,0.16186,0.94737,,
322,0.03664,0.98333,,
323,0.09641,0.97015,,
324,0.02336,0.98529,,
325,0.02724,0.98529,,
326,0.05931,0.96875,,
327,0.07683,0.94915,,
328,0.00215,1.0,,
329,0.0657,0.98571,,
330,0.15562,0.94737,,
331,0.01528,0.98413,,
332,0.00862,1.0,,
333,0.00037,1.0,,
334,0.08935,0.9589,,
335,0.03055,0.98413,,
336,0.04034,0.98305,,
337,0.14651,0.95385,,
338,0.11858,0.95,,
339,0.00992,1.0,,
340,0.08503,0.98485,,
341,0.04102,0.98592,,
342,0.0026,1.0,,
343,0.00016,1.0,,
344,0.32827,0.9403,,
345,0.18767,0.96825,,
346,0.12796,0.98113,,
347,0.00919,1.0,,
348,0.09527,0.98485,,
349,0.08862,0.97059,,
350,0.12581,0.96364,,
351,0.02,1.0,,
352,0.12462,0.96667,,
353,0.13875,0.96226,,
354,0.06498,0.98182,,
355,0.03021,0.98387,,
356,0.07748,0.96875,,
357,0.13399,0.96667,,
358,0.03272,0.98571,,
359,0.11879,0.95455,,
360,0.0433,0.98305,,
361,0.00922,1.0,,
362,0.15793,0.95,,
363,0.01042,1.0,,
364,0.04172,0.98529,,
365,0.03902,0.98333,,
366,0.05421,0.98485,,
367,0.01204,1.0,,
368,0.07533,0.96875,,
369,0.21831,0.95161,,
370,0.0696,0.96825,,
371,0.18611,0.93846,,
372,0.00468,1.0,,
373,0.00546,1.0,,
374,0.14929,0.95652,,
375,0.00757,1.0,,
376,0.04765,0.98438,,
377,0.00395,1.0,,
378,0.28121,0.92308,,
379,0.06445,0.96721,,
380,0.05482,0.98305,,
381,0.11124,0.96667,,
382,0.14765,0.94828,,
383,0.00321,1.0,,
384,0.07973,0.96923,,
385,0.16117,0.98592,,
386,0.14704,0.96721,,
387,0.00236,1.0,,
388,0.19446,0.95385,,
389,0.09956,0.9661,,
390,0.01406,1.0,,
391,0.21082,0.92982,,
392,0.14201,0.96774,,
393,0.13475,0.98333,,
394,0.02495,0.98485,,
395,0.31916,0.92308,,
396,0.01385,1.0,,
397,0.00648,1.0,,
398,0.0069,1.0,,
