step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
234,0.27892,0.98095,,
235,2e-05,1.0,,
236,0.04122,0.99091,,
237,4e-05,1.0,,
238,0.23551,0.98148,,
239,0.08919,0.99074,,
240,0.08279,0.98131,,
241,0.00738,1.0,,
242,6e-05,1.0,,
243,0.04739,0.98276,,
244,3e-05,1.0,,
245,0.00137,1.0,,
246,0.03177,0.9916,,
247,0.00015,1.0,,
248,2e-05,1.0,,
249,0.07808,0.9823,,
250,2e-05,1.0,,
251,0.07214,0.99153,,
252,0.0147,0.99074,,
253,0.08997,0.9913,,
254,0.0003,1.0,,
255,0.00937,0.99187,,
256,0.00014,1.0,,
257,0.0002,1.0,,
258,0.02001,0.99123,,
259,0.05381,0.98291,,
260,7e-05,1.0,,
261,0.03399,0.97297,,
262,0.00071,1.0,,
263,0.13961,0.98214,,
264,0.00059,1.0,,
265,7e-05,1.0,,
266,0.06714,0.99115,,
267,0.10768,0.98182,,
268,0.02839,0.98261,,
269,0.00433,1.0,,
270,0.00161,1.0,,
271,0.0011,1.0,,
272,4e-05,1.0,,
273,0.11192,0.9913,,
274,9e-05,1.0,,
275,0.06159,0.98291,,
276,8e-05,1.0,,
277,0.1391,0.98276,,
278,0.00014,1.0,,
279,0.00095,1.0,,
280,0.00034,1.0,,
281,0.00254,1.0,,
282,0.0001,1.0,,
283,0.00013,1.0,,
284,0.00016,1.0,,
285,4e-05,1.0,,
286,0.03704,0.99115,,
287,0.00175,1.0,,
288,2e-05,1.0,,
289,0.02188,0.99115,,
290,0.06205,0.99074,,
291,0.07084,0.99074,,
292,0.00028,1.0,,
293,1e-05,1.0,,
294,2e-05,1.0,,
295,0.00501,1.0,,
296,0.05758,0.99153,,
297,1e-05,1.0,,
298,0.00011,1.0,,
299,0.08419,0.99115,,
300,4e-05,1.0,0.00033,1.0
301,2e-05,1.0,,
302,2e-05,1.0,,
303,3e-05,1.0,,
304,0.0346,0.99115,,
305,0.00035,1.0,,
306,3e-05,1.0,,
307,0.01411,0.99074,,
308,0.00044,1.0,,
309,0.00158,1.0,,
310,0.00017,1.0,,
311,0.05586,0.99091,,
312,0.00071,1.0,,
313,0.09326,0.98198,,
314,3e-05,1.0,,
315,0.07615,0.99099,,
316,0.0698,0.98246,,
317,0.04633,0.98246,,
318,6e-05,1.0,,
319,0.02436,0.9823,,
320,0.00771,1.0,,
321,9e-05,1.0,,
322,0.10258,0.99115,,
323,0.03172,0.99145,,
324,0.01491,0.99065,,
325,0.00087,1.0,,
326,0.00018,1.0,,
327,0.00183,1.0,,
328,0.0312,0.99091,,
329,0.00773,1.0,,
330,0.06928,0.99123,,
331,0.00014,1.0,,
332,9e-05,1.0,,
333,0.08247,0.97458,,
334,0.01779,0.99074,,
335,0.00044,1.0,,
336,9e-05,1.0,,
337,0.00034,1.0,,
338,0.00013,1.0,,
339,9e-05,1.0,,
340,0.05601,0.99145,,
341,0.03351,0.98148,,
342,0.00023,1.0,,
343,0.00016,1.0,,
344,0.10205,0.99091,,
345,0.00035,1.0,,
346,0.00033,1.0,,
347,0.10606,0.9823,,
348,0.05289,0.98333,,
349,0.02617,0.99074,,
350,0.08923,0.99091,,
351,0.00063,1.0,,
352,0.00038,1.0,,
353,0.00074,1.0,,
354,0.00084,1.0,,
355,0.00025,1.0,,
356,0.00024,1.0,,
357,0.01754,0.99123,,
358,0.00019,1.0,,
359,0.02411,0.99074,,
360,0.00016,1.0,,
361,9e-05,1.0,,
362,8e-05,1.0,,
363,8e-05,1.0,,
364,0.00029,1.0,,
365,5e-05,1.0,,
366,0.03973,0.98276,,
367,4e-05,1.0,,
368,2e-05,1.0,,
369,0.00503,1.0,,
370,3e-05,1.0,,
371,0.07099,0.99099,,
372,1e-05,1.0,,
373,1e-05,1.0,,
374,3e-05,1.0,,
375,2e-05,1.0,,
376,0.19208,0.97248,,
377,0.08922,0.99099,,
378,0.02104,0.99123,,
379,2e-05,1.0,,
380,6e-05,1.0,,
381,7e-05,1.0,,
382,0.09812,0.9916,,
383,0.12272,0.99074,,
384,3e-05,1.0,,
385,0.00022,1.0,,
386,3e-05,1.0,,
387,0.01942,0.99138,,
388,0.07166,0.99145,,
389,0.12242,0.99091,,
390,9e-05,1.0,,
391,0.00373,1.0,,
392,5e-05,1.0,,
393,0.04691,0.99167,,
394,5e-05,1.0,,
395,0.00249,1.0,,
396,0.10617,0.9823,,
397,0.07854,0.98305,,
398,9e-05,1.0,,
